Compound Name,Molecular Weight,Molecular Formula
Acetaldehyde,44.05,C2H4O
Acetamide,59.068,C2H5NO
Acetate,59.044,CH3COO–
Acetic acid,60.052,CH3COOH
Acetone,58.08,C3H6O
Acetonitrile,41.053,C2H3N
Acetylene,26.038,C2H2
Aluminium hydroxide,78.00,Al(OH)3
Aluminium sulfate,342.15,Al2(SO4)3
Aluminum,26.982,Al
Aluminum bromide,266.69,AlBr3
Aluminum fluoride,83.9767,AlF3
Aluminum oxide,101.96,Al2O3
Aluminum phosphate,121.951,AlPO4
Aluminum sulfide,150.158,Al2S3
Ammonia,17.031,NH3
Ammonium acetate,77.083,C2H3O2NH4
Ammonium bicarbonate,96.086,NH4HCO3
Ammonium bromide,97.943,NH4Br
Ammonium carbonate,96.086,(NH4)2CO3
Ammonium chloride,53.489,NH4Cl
Ammonium hydroxide,35.046,NH4OH
Ammonium iodide,144.94,NH4I
Ammonium nitrate,80.043,NH4NO3
Ammonium nitrite,64.06,NH4NO2
Ammonium oxide,52.0763 ,(NH4)2O
Ammonium persulfate,228.18 ,(NH4)2S2O8
Ammonium phosphate,132.056 ,(NH4)3PO4
Ammonium sulfate,132.134 ,(NH4)2SO4
Argon gas,39.948 ,Ar
Ascorbic acid,176.12 ,C6H8O6
Barium bromide,297.14 ,BaBr2
Barium carbonate,197.34 ,BaCO3
Barium chloride,208.23 ,BaCl2
Barium fluoride,175.34 ,BaF2
Barium hydroxide,171.341 ,Ba(OH)2
Barium iodide,391.136 ,BaI2
Barium nitrate,261.337 ,Ba(NO3)2
Barium oxide,153.326 ,BaO
Barium sulfate,233.38 ,BaSO4
Benzene,78.11 ,C6H6
Benzoic acid,122.12 ,C7H6O2
Bicarbonate,61.016 ,CHO3–
Bleach,74.439 ,NaClO
Boric acid,61.83 ,H3BO3
Bromate,127.901 ,BrO3–
Bromine,54.9380 ,Br
Bromothymol Blue,624.384 ,C27H28Br2O5S
Butane,58.12 ,C4H10
Butanoic acid,88.11 ,C4H8O2
Calcium acetate,158.17 ,C4H6O4Ca
Calcium Carbide,64.099 ,CaC2
Calcium carbonate,100.086 ,CaCO3
Calcium Chloride,110.98 ,CaCl2
Calcium hydride,42.094 ,CaH2
Calcium hydroxide,74.092 ,Ca(OH)2
Calcium iodide,293.887 ,CaI2
Calcium nitrate,164.088 ,Ca(NO3)2
Calcium oxide,56.0774 ,CaO
Calcium phosphate,310.18 ,Ca3(PO4)2
Carbon Disulfide,76.13 ,CS2
Carbon monoxide,28.01 ,CO
Carbon tetrachloride,153.811 ,CCl4
Carbonic acid,62.024 ,H2CO3
Cellulose,162.1406 ,(C6H10O5)n
Chlorine,70.9 ,Cl2
Chlorine gas,70.9 ,Cl2
Chlorine Trifluoride,92.448 ,ClF3
Chloroacetic acid,94.49 ,C2H3O2Cl
Chromate,15.992 ,CrO42-
Chromic acid,118.01 ,H2CrO4
Chromic Oxide,151.9904 ,Cr2O3
Citric acid,192.123 ,C6H8O7
Copper (II) chloride,134.45 ,CuCl2
Copper ii carbonate,123.55 ,CuCO3
Copper sulfate,159.609 ,CuSO4
Copper(I) Oxide,143.09 ,Cu2O
Cyanide,26.02 ,CN−
Diatomic Bromine,159.808 ,Br2
Dichloromethane,84.93 ,CH2Cl2
Dichromate,294.185 ,K2Cr2O7
Dihydrogen monoxide,18.01528 ,OH2
Dimethyl sulfoxide,78.13 ,C2H6OS
Dimethylglyoxime,116.12 ,C4H8N2O2
Dinitrogen monoxide,44.013 ,N2O
Dinitrogen Pentoxide,30.07 ,N2O5
Dinitrogen trioxide,76.01 ,N2O3
Dipotassium Phosphate,174.2 ,K2HPO4
Ethane,30.07 ,C2H6
Ethanol,46.069 ,C2H5OH
Ethylene,28.054 ,C2H4
Ethylene glycol,62.07 ,C2H6O2
Eugenol,164.2 ,C10H12O2
Fluorine,18.998403 u,F
Formaldehyde,30.031 ,CH2O
Formic Acid,46.03 ,HCOOH
Fructose,180.16 ,C6H12O6
Glycerin,92.09 ,C3H8O3
Helium,4.002602 u,He
Hexamine,140.186 ,C6H12N4
Hexane,86.18 ,C6H14
Hydrazine,32.0452 ,N2H4
Hydrobromic acid,80.912 ,HBr
Hydrochloric acid,36.458 ,HCl
Hydrocyanic acid,27.0253 ,HCN
Hydrogen peroxide,34.0147 ,H2O2
Hydrogen sulfate,97.064 ,HSO4–
Hydroiodic acid,127.91 ,HI
Hydroquinone,110.11 ,C6H6O2
Hydroxide,17.007 ,OH−
Hypobromous acid,96.911 ,HBrO
Hypochlorite,51.449 ,ClO–
Hypochlorous acid,52.457 ,HClO
Hypoiodous acid,143.89 ,HIO
Iodide,253.809 ,I
Iodine,126.90 ,I
Iron iii oxide,159.687 ,Fe2O3
Iron oxide,159.69 ,Fe2O3
Lactic acid,90.078 ,C3H6O3
Lead (IV) oxide,239.1988 ,PbO2
Lead Acetate,325.29 ,Pb(C2H3O2)2
Lead iodide,461.01 ,PbI2
Lithium bromide,86.844 ,LiBr
Lithium chloride,42.394 ,LiCl
Lithium hydroxide,23.95 ,LiOH
Lithium iodide,133.844 ,LiI
Lithium oxide,29.88 ,Li2O
Lithium phosphate,115.79 ,Li3PO4
Magnesium carbonate,84.313 ,MgCO3
Magnesium chloride,95.211 ,MgCl2
Magnesium hydroxide,58.319 ,Mg(OH)2
Magnesium iodide,278.1139 ,MgI2
Magnesium nitrate,148.313 ,Mg(NO3)2
Magnesium oxide,40.3044 ,MgO
Magnesium sulfate,120.366 ,MgSO4
Methane,16.04 ,CH4
Methanol,32.04 ,CH3OH
Methyl Acetate,74.08 ,C3H6O2
Methylamine,31.057 ,CH3NH2
Methylene chloride,84.93 ,CH2Cl2
Molecular bromine,159.808 ,Br2
Monosodium Phosphate,119.98 ,NaH2PO4
Monosodium glutamate,169.111 ,C5H8NO4Na
Nickel (II) chloride,129.5994 ,NiCl2
Nickel (II) oxide,74.6928 ,NiO
Nickel sulfate,154.755 ,NiSO4
Nitric acid,63.01 ,HNO3
Nitrite,46.005 ,NO2−
Nitrogen dioxide,46.0055 ,NO2
Nitrogen gas,28.0134 ,N2
Nitrous acid,47.013 ,HNO2
Nitrous oxide,44.013 ,N2O
Octane,114.23 ,C8H18
Oxalic acid,90.03 ,C2H2O4
Oxygen gas,31.9988 ,O2
Ozone,48.00 ,O3
Pentane,72.15 ,C5H12
Perchloric acid,100.46 ,HClO4
Peroxide,34.0147 ,O2(2−)
Phosphoric acid,97.994 ,H3PO4
Phosphate,94.9714 ,PO4(3−)
Phosphine,33.9976 ,PH3
Phosphorus pentachloride,208.24 ,PCl5
Phosphorus pentoxide,141.944 ,P2O5
Phosphorus trichloride,137.333 ,PCl3
Potassium acetate,98.15 ,CH3COOK
Potassium bromate,167.00 ,KBrO3
Potassium bromide,119.002 ,KBr
Potassium carbonate,138.205 ,K2CO3
Potassium chlorate,122.55 ,KClO3
Potassium chloride,74.5513 ,KCl
Potassium chromate,194.188 ,K2CrO4
Potassium cyanide,65.12 ,KCN
Potassium dichromate,294.185 ,K2Cr2O7
Potassium ferricyanide,329.25 ,K3[Fe(CN)6]
Potassium ferrocyanide,368.35 ,K4[Fe(CN)6]
Potassium fluoride,58.0967 ,KF
Potassium hydroxide,56.1056 ,KOH
Potassium iodide,166.0028 ,KI
Potassium nitrate,101.1032 ,KNO3
Potassium nitrite,85.1038 ,KNO2
Potassium oxide,94.2 ,K2O
Potassium permanganate,158.034 ,KMnO4
Potassium phosphate,212.27 ,K3PO4
Potassium sulfate,174.259 ,K2SO4
Propane,44.097 ,C3H8
Propanoic acid,74.08 ,C3H6O2
Propylene,42.08 ,C3H6
Pyruvic acid,88.06 ,C3H4O3
Rubidium bromide,165.37 ,RbBr
Rubidium chloride,120.92 ,RbCl
Rubidium iodide,212.37 ,RbI
Sodium acetate,82.03 ,C2H3NaO2
Sodium bicarbonate,84.0066 ,NaHCO3
Sodium bisulfate,120.06 ,NaHSO4
Sodium bisulfite,104.061 ,NaHSO3
Sodium bromate,150.89 ,NaBrO3
Sodium bromide,102.894 ,NaBr
Sodium carbonate,105.9888 ,Na2CO3
Sodium chloride,58.443 ,NaCl
Sodium chromate,161.97 ,Na2CrO4
Sodium cyanide,49.0072 ,NaCN
Sodium dichromate,261.97 ,Na2Cr2O7
Sodium fluoride,41.988 ,NaF
Sodium hydroxide,39.997 ,NaOH
Sodium hypochlorite,74.44 ,NaClO
Sodium iodide,149.89 ,NaI
Sodium nitrate,84.9947 ,NaNO3
Sodium nitrite,68.9953 ,NaNO2
Sodium oxide,61.9789 ,Na2O
Sodium phosphate,163.94 ,Na3PO4
Sodium sulfate,142.04 ,Na2SO4
Sodium sulfide,78.0452 ,Na2S
Sodium sulfite,126.043 ,Na2SO3
Strontium bromide,247.43 ,SrBr2
Strontium carbonate,147.63 ,SrCO3
Strontium chloride,158.53 ,SrCl2
Strontium fluoride,125.62 ,SrF2
Strontium hydroxide,121.63 ,Sr(OH)2
Strontium iodide,341.43 ,SrI2
Strontium nitrate,211.63 ,Sr(NO3)2
Strontium oxide,103.62 ,SrO
Strontium sulfate,183.68 ,SrSO4
Sucrose,342.30 ,C12H22O11
Sulfur dioxide,64.066 ,SO2
Sulfur hexafluoride,146.06 ,SF6
Sulfur trioxide,80.066 ,SO3
Sulfuric acid,98.079 ,H2SO4
Tartaric acid,150.09 ,C4H6O6
Tetrachloromethane,153.82 ,CCl4
Tin chloride,189.6 ,SnCl2
Titanium dioxide,79.866 ,TiO2
Trichloromethane,119.38 ,CHCl3
Trinitrotoluene (TNT),227.13 ,C7H5N3O6
Urea,60.06 ,CH4N2O
Water,18.01528 ,H2O
Xylene,106.16 ,C8H10
Zinc acetate,183.48 ,Zn(CH3COO)2
Zinc bromide,225.198 ,ZnBr2
Zinc carbonate,125.38 ,ZnCO3
Zinc chloride,136.315 ,ZnCl2
Zinc hydroxide,99.424 ,Zn(OH)2
Zinc iodide,319.198 ,ZnI2
Zinc nitrate,189.36 ,Zn(NO3)2
Zinc oxide,81.38 ,ZnO
Zinc phosphate,386.11 ,Zn3(PO4)2
Zinc sulfate,161.47 ,ZnSO4
